-48.053, -0.588, 74.412
-47.533, -1.442, 74.412
-47.006, -2.292, 74.469
-46.471, -3.137, 74.469
-45.925, -3.975, 74.521
-45.374, -4.809, 74.569
-44.814, -5.637, 74.569
-44.247, -6.461, 74.612
-43.675, -7.281, 74.612
-43.095, -8.096, 74.651
-42.512, -8.909, 74.687
-41.921, -9.715, 74.687
-41.327, -10.52, 74.72
-40.728, -11.32, 74.72
-40.124, -12.118, 74.751
-39.518, -12.913, 74.751
-38.906, -13.704, 74.78
-38.293, -14.493, 74.807
-37.674, -15.279, 74.807
-37.054, -16.064, 74.832
-36.43, -16.845, 74.832
-35.805, -17.625, 74.857
-35.177, -18.404, 74.857
-34.546, -19.18, 74.88
-33.914, -19.955, 74.88
-33.28, -20.728, 74.694
-32.645, -21.5, 73.777
-32.008, -22.271, 72.848
-31.37, -23.041, 71.907
-30.731, -23.81, 70.953
-30.091, -24.579, 69.987
-29.45, -25.347, 69.007
-28.809, -26.114, 68.013
-28.168, -26.882, 67.004
-27.527, -27.649, 65.98
-26.885, -28.416, 64.94
-26.244, -29.183, 63.883
-25.603, -29.951, 62.808
-24.963, -30.719, 61.714
-24.324, -31.488, 60.6
-23.685, -32.258, 59.466
-23.048, -33.029, 58.309
-22.412, -33.8, 57.13
-21.779, -34.574, 55.925
-21.146, -35.349, 54.694
-20.516, -36.125, 53.434
-19.889, -36.904, 52.144
-19.263, -37.684, 50.821
-18.642, -38.468, 49.463
-18.023, -39.253, 48.066
-17.408, -40.041, 46.628
-16.797, -40.833, 45.144
-16.189, -41.627, 43.609
-15.588, -42.427, 42.019
-14.992, -43.229, 40.366
-14.4, -44.035, 38.642
-13.817, -44.848, 36.837
-13.239, -45.664, 34.94
-12.669, -46.486, 32.933
-12.11, -47.314, 30.796
-11.558, -48.148, 28.499
-11.015, -48.988, 26
-10.456, -49.884, 0
-10.456, -49.884, 0
0.127, -66.855, 0
endData
68.1
75
200
55.076, -22.386, 53.975, 27.229, 56.225, 55.661, -19.047, 42.57
-19.047, 42.57, -94.319, 29.479, -29.377, -18.998, -10.456, -49.884
#PATH.JERRYIO-DATA {"appVersion":"0.8.3","format":"LemLib v0.5","gc":{"robotWidth":12.5,"robotHeight":12,"robotIsHolonomic":false,"showRobot":true,"uol":2.54,"pointDensity":1,"controlMagnetDistance":1.968503937007874,"fieldImage":{"displayName":"V5RC 2025 - High Stakes","signature":"V5RC 2025 - High Stakes","origin":{"__type":"built-in"}},"coordinateSystem":"VEX Gaming Positioning System"},"paths":[{"segments":[{"controls":[{"uid":"Zhq3SVACoy","x":55.076,"y":-22.386,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"6YYMIGyRiJ","x":53.97516731618279,"y":27.228946010043405,"lock":false,"visible":true,"__type":"control"},{"uid":"LpKjRPFe6l","x":56.225155342854045,"y":55.66061289252563,"lock":false,"visible":true,"__type":"control"},{"uid":"XkBsggoKeD","x":-19.047171367602477,"y":42.56977346462014,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"tWOhB8HZAx"},{"controls":[{"uid":"XkBsggoKeD","x":-19.047171367602477,"y":42.56977346462014,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"girWDm1EdO","x":-94.319498078059,"y":29.478934036714655,"lock":false,"visible":true,"__type":"control"},{"uid":"ZDipyumm5l","x":-29.376661853684148,"y":-18.99808071974783,"lock":false,"visible":true,"__type":"control"},{"uid":"JO36WjMUuW","x":-10.456307993039506,"y":-49.88427999496233,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"hofCsrRTMB"}],"pc":{"speedLimit":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":127,"label":"127"},"step":1,"from":26,"to":75},"bentRateApplicableRange":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":1,"label":"1"},"step":0.001,"from":0,"to":0.358},"maxDecelerationRate":68.1},"name":"Path","uid":"ovA0BFAnJl","lock":false,"visible":true}]}
